,Code,Code6,CommonName,GenusSpecies
347,TAHU,EUGSPE,Talamanca Hummingbird,Eugenes spectabilis
348,FTHU,PANINS,Fiery-throated Hummingbird,Panterpe insignis
349,LBST,HELLON,Long-billed Starthroat,Heliomaster longirostris
350,PCST,HELCON,Plain-capped Starthroat,Heliomaster constantii
351,GTMG,LAMVIR,Green-throated Mountain-gem,Lampornis viridipallens
352,GBMG,LAMSYB,Green-breasted Mountain-gem,Lampornis sybillae
353,ATMG,LAMAME,Amethyst-throated Mountain-gem,Lampornis amethystinus
354,BTMG,LAMCLE,Blue-throated Mountain-gem,Lampornis clemenciae
355,WBMG,LAMHEM,White-bellied Mountain-gem,Lampornis hemileucus
356,PTMG,LAMCAL,Purple-throated Mountain-gem,Lampornis calolaemus
357,WTMG,LAMCAS,White-throated Mountain-gem,Lampornis castaneoventris
358,GATH,LAMRHA,Garnet-throated Hummingbird,Lamprolaima rhami
359,MTWO,PHIBRY,Magenta-throated Woodstar,Philodice bryantae
360,PTWO,PHIMIT,Purple-throated Woodstar,Philodice mitchellii
361,SLSH,DORENI,Slender Sheartail,Doricha enicura
362,MESH,DORELI,Mexican Sheartail,Doricha eliza
363,SKTH,TILDUP,Sparkling-tailed Hummingbird,Tilmatura dupontii
364,LUHU,CALLUC,Lucifer Hummingbird,Calothorax lucifer
365,BEAH,CALPUL,Beautiful Hummingbird,Calothorax pulcher
366,RTHU,ARCCOL,Ruby-throated Hummingbird,Archilochus colubris
367,BCHU,ARCALE,Black-chinned Hummingbird,Archilochus alexandri
368,VEHU,MELMIN,Vervain Hummingbird,Mellisuga minima
369,BEEH,MELHEL,Bee Hummingbird,Mellisuga helenae
370,BAWO,NESEVE,Bahama Woodstar,Nesophlox evelynae
371,INWO,NESLYR,Inagua Woodstar,Nesophlox lyrura
372,ANHU,CALANN,Anna's Hummingbird,Calypte anna
373,ACHH,CALANC,Anna's x Costa's Hummingbird Hybrid,Calypte anna x costae
374,COHU,CALCOS,Costa's Hummingbird,Calypte costae
375,CAHU,SELCAL,Calliope Hummingbird,Selasphorus calliope
376,RUHU,SELRUF,Rufous Hummingbird,Selasphorus rufus
377,RAHH,SELRUS,Rufous x Allen's Hummingbird Hybrid,Selasphorus rufus x sasin
378,ALHU,SELSAS,Allen's Hummingbird,Selasphorus sasin
379,BTHU,SELPLA,Broad-tailed Hummingbird,Selasphorus platycercus
380,BUHU,SELHEL,Bumblebee Hummingbird,Selasphorus heloisa
381,WTHH,SELELL,Wine-throated Hummingbird,Selasphorus ellioti
382,VOHU,SELFLA,Volcano Hummingbird,Selasphorus flammula
383,SCHU,SELSCI,Scintillant Hummingbird,Selasphorus scintilla
384,GLTH,SELARD,Glow-throated Hummingbird,Selasphorus ardens
